x,which_end,loss
1,1,28000.0
1,-1,6230.0
2,1,25924.865681385796
2,-1,6215.665169480133
3,1,24320.290003314607
3,-1,6197.76971781435
4,1,22848.718843482857
4,-1,6189.198571873026
5,1,22150.714142812452
5,-1,6136.746377693522
6,1,21917.148794346336
6,-1,6127.0209773330025
7,1,21927.230680426117
7,-1,6117.484027761012
8,1,22031.986161435223
8,-1,6116.547062586871
9,1,22166.528197903725
9,-1,6114.0390693108675
10,1,22283.593941995616
10,-1,6106.629503275236
11,1,22367.8080210849
11,-1,6098.543857795112
12,1,22457.455717307395
12,-1,6094.054655449506
13,1,22579.32954171654
13,-1,6095.444350119241
14,1,22726.790398083074
14,-1,6100.819225526025
15,1,22885.194471469997
15,-1,6109.220986967193
16,1,23048.03458134241
16,-1,6118.44023372212
17,1,23206.759521436856
17,-1,6129.319829910041
18,1,23330.70084499864
18,-1,6139.968507657212
19,1,23406.96456779657
19,-1,6151.880925825612
20,1,23503.03169772575
20,-1,6163.165131369286
21,1,23619.74231617533
21,-1,6175.5277989941615
22,1,23742.612624723068
22,-1,6186.742926904683
23,1,23880.89513774629
23,-1,6198.465224860163
24,1,24007.92835014053
24,-1,6210.356461139299
25,1,24130.397731547637
25,-1,6223.954775548103
26,1,24248.152026857966
26,-1,6234.915757549021
27,1,24375.842274016934
27,-1,6244.888877609303
28,1,24502.178315060435
28,-1,6255.795489119649
29,1,24631.625865643444
29,-1,6268.154664217326
30,1,24776.54058608028
30,-1,6278.580146592547
31,1,24886.793294370313
31,-1,6290.722678579976
32,1,25008.88659998154
32,-1,6300.882799016091
33,1,25115.953468781743
33,-1,6314.243397861606
34,1,25221.08845718939
34,-1,6330.147809370338
35,1,25329.868472503484
35,-1,6345.391662244816
36,1,25441.316681373766
36,-1,6347.053315627894
37,1,25542.14995209818
37,-1,6357.900903153485
38,1,25640.468034754012
38,-1,6367.7561243100345
39,1,25742.589754097233
39,-1,6380.0479415146565
40,1,25842.729645145868
40,-1,6413.542772862351
41,1,25943.664696253414
41,-1,6429.313733535606
42,1,26044.653927362942
42,-1,6469.24560453107
43,1,26141.826374284134
43,-1,6406.500633724165
44,1,26245.95096316874
44,-1,6381.969038364292
45,1,26349.327546753186
45,-1,6361.32582704025
46,1,26443.096755995975
46,-1,6343.4244818006055
47,1,26538.77612275919
47,-1,6336.3400763468635
48,1,26696.431243209878
48,-1,6325.0558847135635
49,1,26799.200345260255
49,-1,6303.457546736284
50,1,26884.589611491818
50,-1,6296.534017699603
51,1,26954.648342213637
51,-1,6289.431971665028
52,1,27017.750157603055
52,-1,6287.699471863365
53,1,27084.971438045082
53,-1,6282.453018292069
54,1,27159.29421613862
54,-1,6285.088656737814
55,1,27210.62489123512
55,-1,6280.83579391757
56,1,27287.917850943308
56,-1,6284.94297337805
57,1,27333.175272872344
57,-1,6281.970708383862
58,1,27375.161967237094
58,-1,6284.947471920193
59,1,27429.770212305288
59,-1,6286.606986103626
60,1,27479.482729480882
60,-1,6297.773045548511
61,1,27513.68037973471
61,-1,6304.748766773035
62,1,27551.299416133766
62,-1,6319.800831037693
63,1,27588.263600100276
63,-1,6326.587865998502
64,1,27635.65233129902
64,-1,6333.676760958879
65,1,27678.86564425295
65,-1,6346.131076279596
66,1,27726.289507144054
66,-1,6351.060956814176
67,1,27776.51961552188
67,-1,6354.050566798244
68,1,27828.729176215063
68,-1,6358.311545945271
69,1,27879.60046036266
69,-1,6360.715789520783
70,1,27938.27907775045
70,-1,6361.9659110844295
71,1,28007.744771254016
71,-1,6385.338913685426
72,1,28058.48654345706
72,-1,6388.559553321977
73,1,28117.831253229684
73,-1,6399.633353509761
74,1,28176.628417713935
74,-1,6418.205358350249
75,1,28232.19160937512
75,-1,6415.063239702862
76,1,28297.49213637413
76,-1,6430.713524984338
77,1,28362.83501979415
77,-1,6434.0345738433225
78,1,28428.589359844602
78,-1,6429.688687791057
79,1,28502.91760756728
79,-1,6429.287990735828
80,1,28549.733063119398
80,-1,6431.31386745388
81,1,28587.283509637604
81,-1,6434.958836600289
82,1,28629.85210598177
82,-1,6439.788904331849
83,1,28675.330899660723
83,-1,6445.615063214646
84,1,28732.17090715615
84,-1,6455.36058746075
85,1,28793.576514811735
85,-1,6461.444201557166
86,1,28842.602812244564
86,-1,6474.835236863157
87,1,28886.70883965752
87,-1,6480.171717476445
88,1,28936.72874435506
88,-1,6496.524713215543
89,1,29400.680905514455
89,-1,6500.5095258413385
90,1,30108.7331278192
90,-1,6522.980787322927
91,1,29807.81529659705
91,-1,6524.366005193538
92,1,29632.623273340683
92,-1,6528.608278081003
93,1,29500.290302659563
93,-1,6534.217012531468
94,1,29395.03882620364
94,-1,6544.101375649546
95,1,29310.128297626452
95,-1,6557.078375252242
96,1,29239.222839622962
96,-1,6569.057210136252
97,1,29181.91974412864
97,-1,6584.008495646253
98,1,29134.79204225546
98,-1,6597.569353033535
99,1,29099.015498810968
99,-1,6610.2746922311035
100,1,29051.070677357402
100,-1,6629.369442237578
101,1,29013.084585202283
101,-1,6635.176015879408
102,1,28979.675392528377
102,-1,6674.6797733418
103,1,28938.60749318124
103,-1,6683.869952651315
104,1,28907.02451916294
104,-1,6693.916343996615
105,1,28879.041777400307
105,-1,6704.6062100350655
106,1,28853.832058482898
106,-1,6711.771240860829
107,1,28827.430594218247
107,-1,6716.047600840369
108,1,28830.12599072263
108,-1,6725.4203726233345
109,1,28831.81551535503
109,-1,6734.440040206064
110,1,28867.64276625378
110,-1,6736.035272855962
111,1,28823.492948672112
111,-1,6758.387307943579
112,1,28790.526920747106
112,-1,6761.5261437214185
113,1,28763.752496471006
113,-1,6762.618892796556
114,1,28741.2667242293
114,-1,6773.23512455143
115,1,28725.93267797591
115,-1,6786.684568616855
116,1,28712.29518491187
116,-1,6787.265509409116
117,1,28696.70861265161
117,-1,6786.211082132412
118,1,28683.866451290498
118,-1,6795.270594987786
119,1,28677.079333542984
119,-1,6799.929995747236
120,1,28682.69287565138
120,-1,6805.542268559287
121,1,28670.417575342486
121,-1,6815.654378356976
122,1,28669.22763487181
122,-1,6825.149878554578
123,1,28660.62236022767
123,-1,6846.178169250849
124,1,28658.48685052705
124,-1,6847.991067041617
125,1,28653.097462089536
125,-1,6859.932583879174
126,1,28653.7683434819
126,-1,6859.0985796937775
127,1,28650.68731296479
127,-1,6861.042801254822
128,1,28649.080997550114
128,-1,6860.624861403106
129,1,28657.002908704977
129,-1,6866.45619842393
130,1,28659.96837367742
130,-1,6872.72472626803
131,1,28659.736536965163
131,-1,6875.382146489898
132,1,28661.278069641496
132,-1,6883.595312543529
133,1,28668.22293125437
133,-1,6891.838817607491
134,1,28683.434583457234
134,-1,6925.021917614808
135,1,28684.440144077354
135,-1,6931.4057965456595
136,1,28687.915383245123
136,-1,6943.575438482673
137,1,28693.040632415992
137,-1,6951.107300781207
138,1,28703.497558768962
138,-1,6959.279586026787
139,1,28722.13547283257
139,-1,6984.512294968132
140,1,28734.52411322075
140,-1,6988.8474268336395
141,1,28738.413365575172
141,-1,6990.949017564059
142,1,28744.372371724698
142,-1,7007.791392500882
143,1,28751.66384215808
143,-1,7022.616866056385
144,1,28772.737332728935
144,-1,7019.210761021521
145,1,28782.92087132836
145,-1,7019.214667663705
146,1,28789.731576264734
146,-1,7025.632657988243
147,1,28798.285247710926
147,-1,7036.663078096807
148,1,28807.977796250434
148,-1,7047.087476030039
149,1,28822.917688755613
149,-1,7061.639746791196
150,1,28833.164274329654
150,-1,7066.393860665331
151,1,28844.507072515382
151,-1,7076.842763015903
152,1,28856.63975619958
152,-1,7095.82527394434
153,1,28869.42956509089
153,-1,7103.734618657858
154,1,28882.797531543452
154,-1,7117.077773421467
155,1,28896.68204321342
155,-1,7120.653900077764
156,1,28911.030675503935
156,-1,7125.785481738356
157,1,28925.817424165114
157,-1,7149.454992963814
158,1,28941.041316715797
158,-1,7156.096475430745
159,1,28956.681487987356
159,-1,7172.6789401891065
160,1,28972.701118051245
160,-1,7183.2701287055925
161,1,28989.08871761662
161,-1,7185.242769793375
162,1,29005.83272124173
162,-1,7202.729043614795
163,1,29022.93369229244
163,-1,7200.273270887454
164,1,29040.38265227183
164,-1,7264.178733482254
165,1,29062.69064671083
165,-1,7265.041168331494
166,1,29084.250576170198
166,-1,7269.547810441528
167,1,29100.913408510514
167,-1,7262.16416190972
168,1,29118.651398793518
168,-1,7277.005975429021
169,1,29136.964200860897
169,-1,7285.353798291473
170,1,29160.29713469635
170,-1,7289.18326144524
171,1,29182.935321940793
171,-1,7303.314685378783
172,1,29200.643749117167
172,-1,7306.92261738598
173,1,29219.25306709209
173,-1,7316.402294913647
174,1,29238.433960830953
174,-1,7320.832707622924
175,1,29258.04862102305
175,-1,7316.88150748477
176,1,29278.03006067795
176,-1,7329.804025206267
177,1,29298.339047588677
177,-1,7327.243181876084
178,1,29318.957114163724
178,-1,7336.57513480734
179,1,29597.070582504308
179,-1,7345.388248477126
180,1,30683.863390122286
180,-1,7358.748899673002
181,1,30403.07342615479
181,-1,7371.160779895061
182,1,30228.379087782545
182,-1,7373.45322305169
183,1,30102.048470159945
183,-1,7391.610808439231
184,1,30003.675340505473
184,-1,7402.7779820727455
185,1,29923.493255192738
185,-1,7442.247202040526
186,1,29856.0448057978
186,-1,7437.126894786035
187,1,29797.96727397647
187,-1,7446.388169222151
188,1,29747.05227362399
188,-1,7465.503866007548
189,1,29706.575259016518
189,-1,7482.779574922744
190,1,29664.769004444875
190,-1,7489.628083846925
191,1,29627.11853810013
191,-1,7492.8585850754735
192,1,29592.78980487539
192,-1,7493.0282585202585
193,1,29561.23712749955
193,-1,7495.850923622486
194,1,29532.06287412888
194,-1,7500.204405911914
195,1,29509.82104667649
195,-1,7534.84204184714
196,1,29483.4567356564
196,-1,7544.406316660322
197,1,29459.141327289788
197,-1,7550.083177692596
198,1,29436.47494365599
198,-1,7561.98036643285
199,1,29420.134496610943
199,-1,7569.1723075989885
200,1,29403.991535200275
200,-1,7587.156086603505
201,1,29398.138426606332
201,-1,7598.651363796124
202,1,29390.60880044368
202,-1,7605.444630552549
203,1,29387.17051361848
203,-1,7613.426921860427
204,1,29362.37724731618
204,-1,7617.317222250319
205,1,29340.94993420024
205,-1,7632.751697560392
206,1,29321.67800379987
206,-1,7637.287970804462
207,1,29303.950603906374
207,-1,7638.541983700816
208,1,29287.449798003683
208,-1,7651.894311166558
209,1,29271.97803718508
209,-1,7659.631359870511
210,1,29257.400644996145
210,-1,7663.209072744431
211,1,29243.626729624382
211,-1,7673.44307026943
212,1,29230.588535913186
212,-1,7688.75296644844
213,1,29218.224830619092
213,-1,7708.295484178453
214,1,29211.54049877435
214,-1,7741.494198573893
215,1,29219.519299663472
215,-1,7745.296813839377
216,1,29204.071917155088
216,-1,7756.903101051616
217,1,29191.685392322895
217,-1,7763.814742325225
218,1,29180.592520581336
218,-1,7772.0912256342335
219,1,29175.469472614564
219,-1,7781.388483678973
220,1,29169.971478093066
220,-1,7786.308615515336
221,1,29159.299867254787
221,-1,7792.946412368098
222,1,29149.758905724295
222,-1,7810.862871409403
223,1,29141.002701018773
223,-1,7817.190049951711
224,1,29132.88950890221
224,-1,7825.001432421152
225,1,29125.340233753912
225,-1,7838.929250363381
226,1,29118.3306393479
226,-1,7893.761386661951
227,1,29111.805890672764
227,-1,7914.491384853853
228,1,29105.735933440177
228,-1,7924.507989306696
229,1,29100.092971223123
229,-1,7936.122140664777
230,1,29094.855427356168
230,-1,7969.374808496911
231,1,29089.990140224465
231,-1,7967.941772137589
232,1,29095.877210435756
232,-1,7975.832585272546
233,1,29089.503377459587
233,-1,7990.157483873105
234,1,29084.259266172627
234,-1,8004.356890226793
235,1,29079.688731910934
235,-1,8029.033405940015
236,1,29075.627239894213
236,-1,8040.943082172198
237,1,29077.239399919585
237,-1,8053.9278644424285
238,1,29073.294059779764
238,-1,8062.56150247035
239,1,29069.976370978675
239,-1,8093.97681206093
240,1,29067.094851184556
240,-1,8100.675845926236
241,1,29064.57946445118
241,-1,8125.374849422561
242,1,29067.68370589763
242,-1,8137.598365960538
243,1,29064.71808723958
243,-1,8145.530699810729
244,1,29062.450150733966
244,-1,8160.501334820176
245,1,29060.63916594732
245,-1,8164.653664328547
246,1,29059.19932971109
246,-1,8181.703930770567
247,1,29058.086579010986
247,-1,8187.297194553133
248,1,29057.278004259464
248,-1,8216.096501546675
249,1,29056.7537780999
249,-1,8236.262482544567
250,1,29056.500728359406
250,-1,8282.482230256177
251,1,29056.5063875041
251,-1,8285.112687568191
252,1,29056.755856586482
252,-1,8286.586339382808
253,1,29057.24157676238
253,-1,8296.200852719681
254,1,29057.959749767007
254,-1,8312.034324145829
255,1,29058.902251412
255,-1,8321.983281482795
256,1,29060.061763718535
256,-1,8343.540937517413
257,1,29061.433133294624
257,-1,8390.507981753932
258,1,29063.01036814343
258,-1,8414.854160135985
259,1,29064.788776635873
259,-1,8417.094072146547
260,1,29072.18634343998
260,-1,8428.02031524248
261,1,29073.236955204815
261,-1,8450.981405810242
262,1,29074.86124582087
262,-1,8477.61866395156
263,1,29076.946936693294
263,-1,8496.505729770932
264,1,29079.320007912153
264,-1,8542.18754684448
265,1,29081.925237246498
265,-1,8576.55217398325
266,1,29084.73538694391
266,-1,8597.451333402752
267,1,29087.735224529515
267,-1,8601.768202434401
268,1,29090.915440347395
268,-1,8598.948557493939
269,1,29149.205394638186
269,-1,8610.515365076497
270,1,29196.66112878717
270,-1,8611.392300317271
271,1,29182.187054260427
271,-1,8625.495431568463
272,1,29173.591956763736
272,-1,8644.517532520975
273,1,29167.874272305104
273,-1,8656.701292652851
274,1,29163.903958058727
274,-1,8652.776317685288
275,1,29161.118545425168
275,-1,8691.293428260784
276,1,29159.194552301564
276,-1,8691.161609391856
277,1,29157.93160537313
277,-1,8694.480147392276
278,1,29157.194047886307
278,-1,8694.088575772756
279,1,29156.887114464203
279,-1,8701.60680947453
280,1,29156.94191015328
280,-1,8726.344885161523
281,1,29157.307688418812
281,-1,8765.113355330725
282,1,29157.944868580034
282,-1,8765.606815972444
283,1,29158.824091481856
283,-1,8797.722765593078
284,1,29159.92230267327
284,-1,8820.685160645151
285,1,29161.22125474677
285,-1,8836.810290334713
286,1,29162.70405460736
286,-1,8841.992871945924
287,1,29164.353832354307
287,-1,8861.449346152349
288,1,29166.158306213554
288,-1,8868.65513335664
289,1,29168.112155487182
289,-1,8877.540577776821
290,1,29170.208973806373
290,-1,8904.504137745123
291,1,29172.44630723492
291,-1,8917.540833675861
292,1,29180.480037821195
292,-1,8925.470303380242
293,1,29193.212403479323
293,-1,8923.306524206839
294,1,29192.934113105846
294,-1,8929.880543375191
295,1,29193.756374907316
295,-1,8937.25546830094
296,1,29195.153684251905
296,-1,8939.878113760808
297,1,29196.935948471382
297,-1,8966.903943159132
298,1,29199.009352590063
298,-1,8985.045040036714
299,1,29201.3153529148
299,-1,8996.711381960062
300,1,29203.8160159524
300,-1,9020.36742685775
301,1,29206.487091158655
301,-1,9036.494558954342
302,1,29209.314510896016
302,-1,9064.306271539444
303,1,29212.285615825534
303,-1,9066.831555791001
304,1,29215.39303357681
304,-1,9078.223826928424
305,1,29218.626975780593
305,-1,9101.34628187607
306,1,29221.980056306616
306,-1,9156.9603104852
307,1,29225.443202765826
307,-1,9164.872758347548
308,1,29229.01723371666
308,-1,9175.982016059692
309,1,29232.696531763457
309,-1,9176.717609979352
310,1,29236.47727476992
310,-1,9180.245977023227
311,1,29240.353768760426
311,-1,9179.718750066473
312,1,29244.32502033606
312,-1,9193.164375134624
313,1,29248.375581730503
313,-1,9200.716643156504
314,1,29252.49891127515
314,-1,9203.36368156611
315,1,29256.686841729635
315,-1,9213.586444907833
316,1,29260.94581186796
316,-1,9235.635453776202
317,1,29265.267427571613
317,-1,9279.489903012132
318,1,29269.65091259008
318,-1,9335.31081977819
319,1,29274.09795666088
319,-1,9419.351387027427
320,1,29278.608929989663
320,-1,9422.450612843826
321,1,29283.186264900192
321,-1,9419.272006184436
322,1,29287.82826480796
322,-1,9420.830532138501
323,1,29315.978348374923
323,-1,9425.203527017284
324,1,29339.81030134417
324,-1,9425.244791679062
325,1,29337.43392899125
325,-1,9421.631198088575
326,1,29337.43206988008
326,-1,9426.525718749166
327,1,29338.60500422838
327,-1,9426.328826378554
328,1,29340.501100755067
328,-1,9445.6814785185
329,1,29342.89201561239
329,-1,9445.421565893976
330,1,29345.65601089505
330,-1,9459.254741919138
331,1,29348.706279405218
331,-1,9460.514470468397
332,1,29351.98728334187
332,-1,9463.668866850865
333,1,29355.465442839417
333,-1,9485.9106346421
334,1,29359.11067655209
334,-1,9541.420729353365
335,1,29362.899977764966
335,-1,9559.775255434952
336,1,29366.8191273577
336,-1,9560.808363615764
337,1,29370.858634012613
337,-1,9558.798747229645
338,1,29375.006971089853
338,-1,9571.188981802154
339,1,29379.25693076721
339,-1,9583.148525917368
340,1,29383.60454884668
340,-1,9595.013452642814
341,1,29388.041407915975
341,-1,9606.85175317323
342,1,29392.56723595987
342,-1,9612.91423059565
343,1,29397.176946761803
343,-1,9614.21974343756
344,1,29401.866280931008
344,-1,9617.420611067222
345,1,29406.635574420892
345,-1,9627.778944068208
346,1,29411.483237933073
346,-1,9650.003208085509
347,1,29416.405474347703
347,-1,9670.091849169828
348,1,29421.400659778687
348,-1,9767.067449284441
349,1,29426.467583965197
349,-1,9801.256581379643
350,1,29431.60256451899
350,-1,9786.26493106661
351,1,29436.807177370807
351,-1,9784.451960612801
352,1,29442.077930118943
352,-1,9809.604272644538
353,1,29453.45829924338
353,-1,9802.24018008575
354,1,29457.75770077856
354,-1,9799.058114135543
355,1,29468.567553525725
355,-1,9804.141333438462
356,1,29472.463263624497
356,-1,9839.986480217522
357,1,29476.91943247919
357,-1,9846.66146298548
358,1,29481.675752865598
358,-1,9854.815842278682
359,1,29486.634998859
359,-1,9894.073845915307
360,1,29491.74888490891
360,-1,9885.759269111464
361,1,29496.994953685855
361,-1,9924.520795063165
362,1,29502.35383353786
362,-1,9982.060405151544
363,1,29507.812188859854
363,-1,10069.969076027579
